streetmarker,count_vehiclepresent
C2792,3585
C2794,3613
C2796,3319
C280,3368
C2800,3444
C2802,583
C2804,733
C2806,1614
C2808,1696
C2810,1583
C2812,1659
C2816,1636
C2820,832
C2824,1282
C2828,762
C2832,805
C2834,799
C2836,3506
C2838,3649
C2844,3733
C2854,3368
C2858,4345
C2864,1685
C2866,4523
C2912,341
C2914,292
C2916,461
C2918,434
C2920,542
C2922,267
C2924,3288
C2926,8428
C2930,7007
C2934,6518
C2940,4836
C2944,5313
C2954,5544
C2958,4721
C296,3094
C2962,5525
C2970,5728
C2982,2227
C2984,2642
C2986,2674
C2990,2978
C2994,2618
C2998,2752
C300,3266
C3002,2668
C3006,2069
C3010,2536
C3014,2353
C3018,2290
C3022,2193
C3026,2648
C3030,2332
C3034,2451
C3038,2156
C304,3238
C3042,2230
C3046,2387
C3050,2433
C3054,2258
C3058,2554
C3062,2184
C3066,2060
C3070,2050
C3072,2729
C3076,3217
C3078,3460
C308,3108
C3088,2797
C3092,2503
C3096,2448
C3100,2629
C3104,2446
C3106,2756
C3108,2352
C3110,2735
C3112,2561
C3114,2846
C3118,3101
C312,3162
C3120,3287
C3122,3098
C3124,2969
C3126,176
C3128,272
C3130,331
C3132,284
C3134,1
C3136,300
C316,3222
C320,2963
C324,3088
C328,3169
C332,3018
C336,3111
C340,3299
C344,3417
C348,3200
C404,3732
C408,4114
C412,4311
C442,3260
C446,4052
C450,4638
C454,4256
C458,4638
C462,4981
C466,4288
C470,4720
C474,4210
C478,4493
C480,4621
C4828,3327
C4830,3446
C4832,3840
C4834,3713
C484,3279
C4842,3457
C4874,1996
C4876,1944
C4878,2106
C488,3516
C4880,2345
C4884,2476
C4888,2559
C4892,2991
C4896,3220
C492,3162
C496,2812
C500,3406
C504,3353
C508,2851
C512,3094
C516,3372
C518,3298
C522,3868
C526,3822
C530,2566
C5418,1875
C5420,2166
C5422,2158
C5424,2040
C5426,2005
C5430,1888
C5434,1869
C5438,1768
C544,4461
C5442,1573
C5448,1403
C5450,1392
C5452,1374
C5454,1308
C5456,1275
C5458,1239
C5462,1233
C5466,1080
C5470,1188
C5474,1189
C5478,1098
C548,4693
C5482,1064
C5486,1007
C5490,980
C5494,1026
C5498,858
C5500,978
C5502,878
C5504,874
C5506,827
C5508,759
C5510,758
C552,4083
C5524,813
C5528,836
C5532,745
C5536,883
C5540,835
C5542,921
C5544,925
C5546,904
C5548,968
C5550,849
C5552,824
C5554,1028
C5558,936
C556,4097
C5562,1010
C5564,957
C5566,881
C5568,905
C5572,996
C5576,1123
C5580,1164
C5584,1257
C5588,1232
C560,3529
C5610,1307
C5612,1382
C5614,1210
C5616,1169
C5618,1259
C5620,1255
C5622,1311
C5624,1497
C5626,1826
C5628,2066
C5630,1990
C5632,1665
C5634,1610
C5636,1463
C5638,1329
C564,3161
C5640,1432
C5642,1067
C5644,1088
C5646,952
C5648,988
C5650,990
C5652,816
C5654,1062
C5656,983
C5660,1223
C5662,1483
C5664,1160
C5666,1784
C5670,1681
C5674,1454
C5676,1562
C568,3266
C5680,1398
C5684,1718
C5688,1839
C5692,1455
C5696,2245
C5700,2969
C5702,2340
C5704,2668
C5706,2614
C5708,2384
C5710,1997
C5712,1705
C5714,1998
C5716,1638
C5718,1329
C572,3145
C5720,1159
C5724,1480
C5726,1050
C5728,1165
C5730,970
C5732,951
C5734,1106
C5736,1469
C5738,970
C5740,1034
C5742,996
C5744,967
C5748,1074
C5750,1022
C5752,959
C5754,925
C5756,866
C576,2941
C5760,944
C5762,1294
C5764,1286
C5766,1319
C5768,1000
C5770,1148
C5772,1292
C5774,1326
C5776,1219
C5778,1413
C5780,1212
C5782,934
C5784,1283
C5786,1238
C5788,1269
C5790,1221
C5792,1243
C5794,1157
C5796,1191
C5798,1316
C580,2992
C5800,1168
C584,2527
C5854,1852
C5856,1465
C5858,1572
C5860,1410
C5862,957
C5864,1164
C5868,1184
C5870,1032
C5872,1187
C5874,1129
C5876,925
C5878,1096
C588,2885
C5880,925
C5882,573
C5886,873
C5888,484
C5890,994
C5892,1139
C5894,1046
C5898,1055
C5900,1003
C5902,976
C5904,900
C5906,819
C5908,744
C5910,652
C5914,625
C5916,542
C5918,880
C592,3200
C5920,1748
C5922,1612
C5924,1953
C5926,1607
C5930,1138
C5932,1940
C5934,1885
C5936,1781
C5938,1521
C5940,1627
C5942,1724
C5944,1587
C5946,743
C5950,675
C5952,1036
C5954,1176
C5956,1258
C5958,1125
C596,3602
C5960,1169
C5962,1150
C5964,1032
C5966,801
C600,3332
C6036,671
C6038,785
C6040,716
C6042,816
C6048,712
C6050,856
C6052,930
C6054,1216
C6056,1000
C6058,819
C6060,1325
C6062,1072
C6064,1297
C6066,1092
C6068,2231
C6070,1984
C6072,1218
C6074,1192
C6076,1185
C6078,818
C6080,945
C6082,887
C6084,823
C6086,1156
C6088,887
C6090,756
C6092,742
C6096,564
C6098,1207
C6100,1238
C6102,1135
C6104,1062
C6106,1024
C6108,1017
C6110,995
C6112,1123
C6114,1171
C6116,889
C6118,892
C6120,938
C6122,904
C6124,794
C6126,951
C6130,8104
C6132,810
C6134,947
C6136,936
C6138,961
C6140,976
C6142,1112
C6144,1055
C6146,1204
C6148,1116
C6152,1245
C6154,993
C6156,1105
C6158,1100
C616,6
C6160,931
C6162,1006
C6164,1021
C6166,964
C6170,944
C6172,1071
C6174,1065
C6176,971
C6178,1069
C6180,963
C624,323
C6280,1532
C6282,1801
C6284,1891
C6286,1719
C6290,1685
C6296,1926
C6300,2311
C6302,2617
C6340,1687
C6344,1909
C6348,1941
C6350,2010
C6352,1901
C6356,1771
C6360,1537
C6368,1456
C6372,1535
C6374,1426
C6376,1374
C6378,1356
C6380,1400
C6390,1230
C6392,1274
C6396,1227
C6400,1282
C6402,1163
C6404,1213
C6406,1190
C6408,1145
C6412,1111
C6414,1149
C6418,1111
C6420,1096
C6424,1200
C6428,1061
C6598,4151
C6602,3922
C6606,3879
C6608,2863
C6612,3925
C6616,3817
C6620,3104
C6624,3613
C6628,3772
C6632,3531
C6632a,3787
C6632b,1098
C6634,3790
C6636,3665
C6638,3729
C664,3040
C6640,3608
C6642,3660
C6646,3336
C6648,3178
C6650,3435
C6652,3588
C6654,3308
C6656,3147
C6658,2099
C666,3187
C6662,2400
C6670,2412
C6674,2427
C6678,2408
C668,3345
C6682,2397
C6686,1939
C6690,2317
C6698,2369
C670,3239
C6702,2433
C6706,2633
C6710,3302
C672,3391
C6728,240
C6732,250
C6736,159
C674,3492
C6742,6
C6744,183
C6748,158
C6752,190
C6756,197
C676,3164
C6760,179
C6762,1
C6776,156
C6780,172
C6784,195
C6788,138
C6792,222
C6796,185
C680,3135
C6800,182
C6804,188
C6808,216
C6812,169
C6820,833
C6822,967
C6824,1481
C6826,1331
C6828,1476
C6830,1346
C6832,1632
C6834,1223
C6836,1543
C6838,1358
C684,3153
C6840,1575
C6844,1878
C6846,1656
C6848,1757
C6850,1185
C6852,1036
C6854,1136
C6856,1501
C6858,1449
C6860,1685
C6862,721
C6864,1460
C6866,1279
C6868,1162
C6872,1237
C6876,1307
C6878,1119
C688,3270
C6880,975
C6882,1184
C6884,1213
C6886,1284
C6888,1443
C6890,1431
C6892,1488
C6894,1744
C6898,1555
C6900,1517
C6902,2075
C6904,2989
C6906,1945
C6908,1434
C6910,2114
C6912,1863
C6914,2364
C6916,929
C6918,1943
C692,3323
C6920,1295
C6922,1742
C6924,1561
C6926,1015
C6928,1046
C6930,1286
C6932,1382
C6934,1472
C6936,1531
C6938,1726
C6940,1605
C6942,1611
C6944,1908
C6950,1532
C6952,2206
C6954,1574
C6956,2133
C6958,1682
C696,3396
C6960,1903
C6962,1700
C6964,2445
C6966,1267
C6972,429
C6974,1427
C6976,851
C6978,1352
C6984,383
C6986,8128
C6988,880
C6990,1198
C6992,430
C6994,1558
C6996,938
C6998,1538
C700,3160
C7002,746
C7006,846
C7008,823
C7012,9455
C7014,6915
C7016,6296
C7018,5703
C7020,5966
C7022,5604
C7024,4976
C7024a,5166
C7026,4304
C7028,3742
C7030,3879
C7032,3570
C7034,3567
C7036,3447
C7038,3447
C7040,3286
C7042,3585
C7044,2472
C7046,2902
C7048,2455
C7112,1196
C7114,1133
C7116,543
C7136,1371
C7140,1211
C7142,1235
C7148,789
C7150,947
C7152,823
C7154,907
C7156,698
C7158,687
C7160,883
C7162,737
C7164,801
C7166,850
C7168,855
C7170,879
C7174,738
C7176,912
C7178,914
C7180,834
C7182,816
C7184,790
C7186,836
C7188,906
C7190,856
C7192,699
C7194,846
C7196,694
C7198,833
C7200,988
C7202,1024
C7204,1195
C7206,1451
C7208,1113
C7210,1104
C7212,1381
C7214,1155
C7216,1220
C7218,1402
C722,4232
C7220,1094
C7222,1008
C7224,894
C7226,788
C7228,798
C7230,889
C7232,756
C7234,800
C7236,888
C7238,1171
C724,5004
C7240,1316
C7242,1423
C7244,1686
C7246,1560
C726,4930
C728,4244
C736,4979
C740,4464
C744,4602
C756,4984
C758,4929
C760,682
C762,4323
C764,4904
C766,4971
C768,4284
C7682,1182
C7684,1186
C7686,1158
C7688,1210
C7692,1263
C7694,1313
C7696,1201
C7698,1252
C7700,1158
C7702,1130
C7704,1135
C7706,1028
C7708,723
C7710,1026
C7712,885
C7714,904
C7716,925
C7718,792
C7726,612
C7728,805
C7730,990
C7732,947
C7734,925
C7734A,985
C7734B,1069
C7734C,1091
C7736,1376
C7736A,977
C7736B,1243
C7736C,1359
C7738,703
C7740,1374
C7744,1922
C7746,1994
C7752,2068
C7754,2777
C782,5667
C786,5860
C790,6062
C794,6178
C798,5665
C8004,1582
C8006,1853
C8008,1769
C8012,1776
C8014,1730
C8018,1690
C802,6093
C8022,1809
C8054,617
C8056,721
C8058,625
C806,6341
C8060,636
C8062,737
C8064,651
C810,6002
C814,5827
C818,5839
C822,5964
C824,6353
C826,6513
C828,5676
C830,5612
C9000,1323
C9004,2447
C9008,2260
C9012,2163
C9016,1984
C9020,2036
C9024,2008
C9028,1962
C9032,1906
C9036,1720
C9040,1753
C9044,2333
C9048,1666
C9052,1550
C9056,1355
C9060,1672
C9064,1404
C9068,1680
C9072,1441
C9076,1342
C9080,1499
C9084,1586
C9088,1379
C9102,3017
C9106,3380
C9110,3297
C9114,3114
C9118,3140
C9122,3057
C9126,2523
C9130,2695
C9134,2651
C9138,2558
C9142,2314
C9146,2364
C9150,2344
C9154,2219
C9158,1804
C9162,2247
C9166,2162
C9170,2047
C9174,1981
C9178,2142
C9182,1980
C9186,2172
C9190,2184
C9194,2136
C9198,2191
C9202,1824
D7W,2965
D9W,4838
