bay_id,st_marker_id,lat,lon,location
3567,7095S,-37.80904047159493,144.95334011301645,"{'latitude': '-37.80904047159493', 'longitude': '144.95334011301645', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
5023,9457S,-37.830296550637506,144.96579219736887,"{'latitude': '-37.830296550637506', 'longitude': '144.96579219736887', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4308,C6952,-37.8092757883083,144.95607346019614,"{'latitude': '-37.8092757883083', 'longitude': '144.95607346019614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3400,6241W,-37.80585287262254,144.95077786807047,"{'latitude': '-37.80585287262254', 'longitude': '144.95077786807047', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
8347,781W,-37.812111639871596,144.9676573100245,"{'latitude': '-37.812111639871596', 'longitude': '144.9676573100245', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
954,C822,-37.811257509886595,144.96738963162676,"{'latitude': '-37.811257509886595', 'longitude': '144.96738963162676', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2750,4586E,-37.807559275525335,144.96589502708156,"{'latitude': '-37.807559275525335', 'longitude': '144.96589502708156', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3640,7595S,-37.805352315471154,144.95041134473956,"{'latitude': '-37.805352315471154', 'longitude': '144.95041134473956', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4244,C6820,-37.80953289851465,144.95561158975204,"{'latitude': '-37.80953289851465', 'longitude': '144.95561158975204', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3955,C5878,-37.805073030677484,144.95378898323872,"{'latitude': '-37.805073030677484', 'longitude': '144.95378898323872', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
643,C116,-37.80880200226363,144.97186447690888,"{'latitude': '-37.80880200226363', 'longitude': '144.97186447690888', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3550,7073S,-37.80882498247023,144.95408965711715,"{'latitude': '-37.80882498247023', 'longitude': '144.95408965711715', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3897,C5706,-37.806067037313525,144.9551160044954,"{'latitude': '-37.806067037313525', 'longitude': '144.9551160044954', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2670,10179W,-37.804094284673724,144.9493444001103,"{'latitude': '-37.804094284673724', 'longitude': '144.9493444001103', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2655,10159W,-37.80465392902081,144.94924754947715,"{'latitude': '-37.80465392902081', 'longitude': '144.94924754947715', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
5345,8871W,-37.82543122206522,144.96054694628188,"{'latitude': '-37.82543122206522', 'longitude': '144.96054694628188', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2752,4590E,-37.80745530729499,144.9659084655904,"{'latitude': '-37.80745530729499', 'longitude': '144.9659084655904', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3945,C5858,-37.80531069392037,144.9537465349453,"{'latitude': '-37.80531069392037', 'longitude': '144.9537465349453', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
865,690E,-37.81408797622072,144.96881364966487,"{'latitude': '-37.81408797622072', 'longitude': '144.96881364966487', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
639,C100,-37.8088965609683,144.97190792792816,"{'latitude': '-37.8088965609683', 'longitude': '144.97190792792816', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4301,C6938,-37.809330270096325,144.95600001926937,"{'latitude': '-37.809330270096325', 'longitude': '144.95600001926937', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3896,C5704,-37.806092441005,144.95511145791926,"{'latitude': '-37.806092441005', 'longitude': '144.95511145791926', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3390,6223W,-37.806091285795176,144.95088646363757,"{'latitude': '-37.806091285795176', 'longitude': '144.95088646363757', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4318,C6974,-37.80935195116392,144.95619976326594,"{'latitude': '-37.80935195116392', 'longitude': '144.95619976326594', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4265,C6862,-37.80945561676933,144.95583569188864,"{'latitude': '-37.80945561676933', 'longitude': '144.95583569188864', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3926,C5768,-37.80444470791144,144.95540268447868,"{'latitude': '-37.80444470791144', 'longitude': '144.95540268447868', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
5235,11524N,-37.81191442680799,144.95141216468477,"{'latitude': '-37.81191442680799', 'longitude': '144.95141216468477', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
