,rd_seg_id,marker_id,rd_seg_dsc,geometry,centroid,lati,long,area_m2,bay_id,status
38,20046,3507S,Little Lonsdale Street between William Street and King Street,"MULTIPOLYGON (((144.956241916061 -37.812952540469, 144.956201898307 -37.81296395767, 144.956195189854 -37.812949364753, 144.956287383092 -37.812923154683, 144.956294102245 -37.812937772112, 144.956241916061 -37.812952540469)))",POINT (144.9562446541031 -37.81294354617634),-37.812943546176335,144.95624465410307,9.108119087605791,,Unknown
39,22227,20619S,Domain Road between Millswyn Street and Park Street,"MULTIPOLYGON (((144.980915235334 -37.833972077651, 144.980987864827 -37.833981531161, 144.980982961109 -37.834005231792, 144.980910330459 -37.83399577826, 144.980915235334 -37.833972077651)))",POINT (144.9809490978939 -37.83398865474259),-37.83398865474259,144.9809490978939,10.594318457808194,,Unknown
40,22710,20605S,Domain Road between Hope Street and Millswyn Street,"MULTIPOLYGON (((144.980127077494 -37.833875820873, 144.980195799779 -37.833884920358, 144.980191443617 -37.833905616818, 144.980122721314 -37.833896517329, 144.980127077494 -37.833875820873)))",POINT (144.9801592605513 -37.83389071884502),-37.83389071884502,144.98015926055135,8.761646475910148,,Unknown
41,22710,20611S,Domain Road between Hope Street and Millswyn Street,"MULTIPOLYGON (((144.980333245565 -37.833903118329, 144.980401967906 -37.833912217695, 144.9803976118 -37.833932914163, 144.980328889441 -37.833923814794, 144.980333245565 -37.833903118329)))",POINT (144.9803654286781 -37.83391801624573),-37.83391801624573,144.98036542867808,8.761652927707981,,Unknown
42,22227,20625S,Domain Road between Millswyn Street and Park Street,"MULTIPOLYGON (((144.981133125058 -37.834000436264, 144.981205755747 -37.83400988966, 144.981200850961 -37.834033590283, 144.981128221385 -37.834024136903, 144.981133125058 -37.834000436264)))",POINT (144.9811669883259 -37.83401701325211),-37.83401701325211,144.98116698832592,10.594326954891066,,Unknown
43,22710,20601S,Domain Road between Hope Street and Millswyn Street,"MULTIPOLYGON (((144.980058354092 -37.833866721329, 144.980053997893 -37.833887417782, 144.979985275627 -37.833878318215, 144.979989631844 -37.833857621765, 144.980058354092 -37.833866721329)))",POINT (144.9800218148641 -37.83387251977323),-37.83387251977323,144.98002181486407,8.7616418086964,,Unknown
44,20040,3433S,Little Lonsdale Street between Swanston Street and Elizabeth Street,"MULTIPOLYGON (((144.96368164768 -37.810787057759, 144.963620321832 -37.810805332853, 144.963612229976 -37.810788414812, 144.96367358451 -37.810770211411, 144.96368164768 -37.810787057759)))",POINT (144.9636469247885 -37.81078776064455),-37.81078776064455,144.96364692478855,7.087688737380646,,Unknown
45,22710,20613S,Domain Road between Hope Street and Millswyn Street,"MULTIPOLYGON (((144.980401967906 -37.833912217695, 144.980470691401 -37.833921317041, 144.980466335314 -37.833942013512, 144.9803976118 -37.833932914163, 144.980401967906 -37.833912217695)))",POINT (144.9804341516053 -37.83392711560324),-37.83392711560324,144.98043415160527,8.761796566432965,,Unknown
46,20020,3733S,La Trobe Street between Russell Street and Swanston Street,"MULTIPOLYGON (((144.964838381745 -37.809381210637, 144.964828760323 -37.809360506529, 144.964904669153 -37.809338181502, 144.964914146059 -37.809358482082, 144.964838381745 -37.809381210637)))",POINT (144.9648713688288 -37.80935963195714),-37.80935963195714,144.96487136882877,10.60510372290865,,Unknown
47,22227,20623S,Domain Road between Millswyn Street and Park Street,"MULTIPOLYGON (((144.9810604955 -37.833990983744, 144.981133125058 -37.834000436264, 144.981128221385 -37.834024136903, 144.981055590669 -37.83401468436, 144.9810604955 -37.833990983744)))",POINT (144.9810943581149 -37.83400756034441),-37.83400756034441,144.9810943581149,10.594301256480895,,Unknown
